,label,text,osp
0,joy,When I understood that I was admitted to the University.,0
1,fear,I broke a window of a neighbouring house and I feared my mother's judgement and action on what I had done.,1
2,joy,Got a big fish in fishing.,0
3,fear,"Whenever I am alone in a dark room, walk alone on the street, sleep alone in the room at night or see something which is only partly visible.  This emotion was very strong when as an 8 year   old child I saw something horrible.  ",0
4,shame,I bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter.,1
5,disgust,I read about a murderer who brutalized his victims by cutting open their stomaches and taking out their bowels.,1
6,joy,The day that my boyfriend appeared at home with a pair of rings for our wedding.,0
7,guilt,"I went to a pub with a group of friends (not very close) and I was with one girl most of the time, while the other girls in the group wanted to be with me.  They stopped talking to the girl I was with.",1
8,anger,Had an insulting letter from my father.,1
9,fear,I was to be given an audition to get a role. I had a competitress and I wasn't well prepared because I was ill.,0
10,anger,My mother and my sister carried on picking at me all day long for no reason at all and I ended up getting angry.,2
11,guilt,"When I see that my mother forces my little brother (15 years) to work very hard for school. I don't agree that she constantly puts him to work, but I don't tell it to her, so nothing changes.",0
12,joy,When we got a young dog.,1
13,anger,I am a teacher in arts and crafts (boys from 15-16 years). for them it is obligatory and they dislike it. They tease me. When one of them cut up some material I flared up.,0
14,anger,When I saw my brother being attacked and I could not do anything.,1
15,shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",1
16,guilt,After I had cheated my parents that I had lost my textbooks so they had to send me money.,1
17,disgust,When I see rotten meat.,1
18,joy,Going to a friend's wedding and seeing many of my old friends whom I had known before I moved to a new district five years previously.,0
19,guilt,"When my sister had the opportunity to do some modelling work. And I was quite jealous - later on the photographer decided not to take her photograph, and she was very upset - I felt guilty as a result, almost as if I had caused her to lose her opportunity, by not being genuinely happy for her in the first place.",2
20,shame,When I was a child my parents caught me with a pornographic magazine.,0
21,shame,"I am left-handed. When I attended the first form, we learned to write with pens. I smeared everything I had written. All my friends had written well and wanted to know why the teacher was looking at my note-book. I was ashamed.",0
22,anger,I worked together with another student on a computer-assignment. She didn't do her best and didn't prepare herself for it. She expected me to explain it to her.,0
23,fear,Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone.,2
24,joy,"After a busy day I went back to my hostel.  I closed the door and had a drink, then I read my favourite book on the bed.  Suddenly I felt peace and joy.",0
25,shame,We got into a fight with some chaps in front of our family house. The value of the property destroyed was approximately 15 000 FIM. I felt ashamed when my parents came to know about this.,0
26,disgust,When my friend who was drunk insulted me in public for no reason at all.,0
27,disgust,Disgust with myself for consistently making foolish errors in communicating with others (asking for 1/2 Kg of nuts when I only wanted 50 g).,0
28,fear,I was afraid when I met my Uncle because this time I was with my boyfriend I thought I was not going to be given pocket money.,1
29,fear,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it.,2
30,anger,A colleague asked me to study with her. I could not explain things as perfectly as she had expected. So she reacted in an aggressive manner.,2
31,fear,I felt afraid of losing somebody I love to another person because I was an incomprehensive person and lots of time I fight with this person.,0
32,anger,"I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation.",1
33,sadness,"My mother kicked my surrogate father out and he in turn did not care for the dog, Afthur, he bought for the family. His lack of concern lead tho Arthur's death on the freeway. I loved Arthur like a brother. He was easy to talk to.",0
34,anger,My boy-friend had promised me to come home at about 10 p.m. He did not return until midnight and had consumed a lot of alcohol.,1
35,shame,"I had high-heeled shoes one time, but a certain girl who saw the shoes told me that they were out of fashion and I looked as an old man when I was in those shoes.",0
36,joy,When I could study at university.,0
37,joy,When I learnt that I had been accepted at the medical school.,0
38,joy,When I saw my family after a separation of one year.,0
39,guilt,When my parents quarelled over something I had done and which was wrong.,1
40,sadness,Death of my grandmother.,1
41,sadness,My best friend had a relatively severe illness.  I was sad because she was suffering.,1
42,shame,When inadvertantly I found myself in the ladies room.,0
43,shame,"When I had slept with a boy for the first time I felt ashamed for three reasons. First, because I was only 13 years old, second, because I did not really like him, third, because he had caught me napping.",0
44,shame,When I had been angry at my friend without any reason.,1
