,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6751592356687898,0.7019867549668874,0.6883116883116883,151.0,0.025000000075,32,9
fear,0.7214285714285714,0.5976331360946746,0.6537216828478964,169.0,0.025000000075,32,9
shame,0.3463414634146341,0.45222929936305734,0.39226519337016574,157.0,0.025000000075,32,9
disgust,0.40969162995594716,0.6078431372549019,0.48947368421052634,153.0,0.025000000075,32,9
guilt,0.46153846153846156,0.3821656050955414,0.4181184668989547,157.0,0.025000000075,32,9
anger,0.47435897435897434,0.24503311258278146,0.3231441048034934,151.0,0.025000000075,32,9
sadness,0.5941176470588235,0.5976331360946746,0.5958702064896756,169.0,0.025000000075,32,9
accuracy,0.5140018066847335,0.5140018066847335,0.5140018066847335,0.5140018066847335,0.025000000075,32,9
macro avg,0.526090854774886,0.5120748830646457,0.5087007181332001,1107.0,0.025000000075,32,9
weighted avg,0.5288387788974327,0.5140018066847335,0.5113193878996428,1107.0,0.025000000075,32,9
